ccodecow,year,wdi_fossil,edgar_pm25,renew_output,wdi_co2,env_index_gls
94,2000,.2299417714244536,-.3804680898212339,1.877695326399343,-.3877004397718194,1.51141248083581
94,2001,.1795069997158993,-.3954865528070828,1.645045900645998,-.3661613328164293,1.37878313791926
94,2002,.1181035713777575,-.4157592101227192,1.854382805979944,-.3146927276478868,1.491718099628237
94,2003,.1623559772650831,-.3551901976570043,1.895396867006417,-.2934316495022718,1.464362778804863
94,2004,-.0766401823053747,-.1712725043160049,1.808245147847467,-.2724848043916795,1.269003330757666
94,2005,-.1072541618126674,-.1492074965850748,1.789088351567665,-.2885349317886565,1.247938407946949
94,2006,-.0842158359359339,-.1043680231823318,1.706236250436167,-.2752722641723128,1.163406266620827
94,2007,-.0468823030393646,-.0363155294133513,1.67927257109653,-.1894073037999392,1.065671287414284
94,2008,-.0487068380608948,-.0563233151381076,1.704752436046157,-.1982950611370164,1.098156655300073
94,2009,-.0744797199782904,-.0790462153721373,1.773705383706605,-.2277984001206541,1.16528658711219
94,2010,-.0898923056277391,-.0725018927213175,1.698557743751691,-.2669224504173259,1.132708939857123
94,2011,-.0690843634682665,-.1189520793918552,1.640134761059567,-.2932739118048496,1.143384865084433
94,2012,-.0796419030503567,-.1662047986310181,1.652359175333419,-.3047464083313476,1.188613144337074
94,2013,-.0381606689845602,-.1273563824865928,1.549992308968553,-.2778145763919572,1.092096682759037
94,2014,-.0241995874137221,-.1339618284391723,1.594842313613166,-.2744548632957575,1.121561549397866
94,2015,.135807756401947,-.1440714142128751,1.871702402948204,-.3114270608974126,1.306128681600199
95,1970,.4506840517997838,-.5480714410935074,1.182610519206035,-.3558311799059034,1.224073131749655
95,1971,.7931229042447863,-.5409857042144735,1.030478562931357,-.2618147612568135,1.101416140416327
95,1972,.8601714043557864,-.5433843972326422,1.039476531840722,-.2300485604510245,1.097064795109859
95,1973,.8985358953234289,-.5239576589137785,1.011793730977238,-.1444451958209626,1.033875860074836
95,1974,.8574951568052975,-.5007761349791509,1.026248014604217,-.2155113254160482,1.053076387976078
95,1975,.739822770166918,-.4822912599931873,1.117515747599707,-.0933997353051762,1.040965126992967
95,1976,.6954740939543249,-.458525226066543,.9635571082905868,-.1236833805349328,.9466050150177785
95,1977,.6235478792135017,-.4329888487278,1.01069252849102,-.1739830860013045,.9739371902494232
95,1978,.5319255627840579,-.4194124359526089,1.107365929677214,-.3299011767825797,1.080067059889015
95,1979,.5680971702341677,-.412586799231443,1.078130200225087,-.2668028127867029,1.033954349737446
95,1980,.330703267933906,-.4212642073581123,1.196440808121834,-.2986952419078808,1.115769995033848
95,1981,.3198403749184818,-.4288884289641706,1.21353815501276,-.2688582865879596,1.118904029547011
95,1982,.4122964498963199,-.4170785160630049,1.194197252782767,-.2948904343884839,1.11172506239951
95,1983,.5154011177977433,-.4198889059730985,1.062938352601617,-.2696734821163617,1.030463305541652
95,1984,.3378472716896179,-.4236483147392592,1.23997642357265,-.4131759056493568,1.188378418640981
95,1985,.2878056619510351,-.4385773134079463,1.293324898476764,-.4841633205062919,1.257004175151034
95,1986,.3053603161437011,-.4546105411458468,1.296508928296065,-.4693176406280506,1.264768325974016
95,1987,.3682650270689883,-.4489106477271855,1.143550266398432,-.3880784324535587,1.141694546072114
95,1988,.2914748092588715,-.474041997537874,1.26567936826029,-.4577498613404488,1.256050723763569
95,1989,.2117334700515452,-.4570258938988295,1.339270950787667,-.5592762413804994,1.324982782658927
95,1990,.212865451149349,-.4504118639535947,1.485266325583007,-.5175583081138841,1.387503512276026
95,1991,.3122945950190475,-.4161802763823793,1.16541018403546,-.4334302348233587,1.147716833615497
95,1992,.4093781182153555,-.3792491649550949,.9390822985945126,-.2690420196798368,.9276338046028717
95,1993,.3723690779486699,-.370041486165865,1.161068866366081,-.3339212856256932,1.073721013060759
95,1994,.439329874822629,-.393158762611806,1.093664804785255,-.2827454782388003,1.03255103211107
95,1995,.5105422682981307,-.4263460488406912,1.010206421153475,-.5339810592050634,1.110255634084549
95,1996,.453112704113297,-.3642731129355384,1.300668810820887,-.2668586125796866,1.12476826211062
95,1997,.4596775117760539,-.3776672034850611,1.099763858522255,-.13769202312533,.9674582646090503
95,1998,.6598404300645621,-.3598049874938099,.4939534732979681,-.1140914338537424,.6014237104360154
95,1999,.5740744070953895,-.3579657934767354,1.002126703610932,-.1645406568662536,.9104325453295388
95,2000,.5404230604165333,-.3652004339949042,1.164410725715636,-.1635031141763435,1.007732016281297
95,2001,.6859012560405205,-.3327766953488053,.5281555126252588,-.0340775291700577,.5703191668340313
95,2002,.5486160627526944,-.3419193376262936,.9592446774039496,-.1815024096686873,.8805204691366033
95,2003,.6150778498198545,-.342444701587187,.5675651454987057,-.1609282056433739,.6490311786809742
95,2004,.5308556377429962,-.36216457557029,1.014533805712236,-.216666267191424,.9404575983351974
95,2005,.6365750876848422,-.351721080641164,.9592435620388612,-.1099518526832332,.8608610855600998
95,2006,.6609078878087342,-.3240779193597718,.8344890155455782,-.0567891649776647,.7486579764167272
95,2007,.6982712533198021,-.3915065885295751,.7530308532345575,-.0876889932094447,.7632985141934439
95,2008,.5547970140843903,-.3050178733070444,.8908068814126133,-.0806262557329973,.7745976045064934
95,2009,.6763474744578897,-.3143157583691285,.716994360417707,.0109704707866939,.6474129947936352
95,2010,.8501961554939992,-.4597975526184437,.7326764540021173,.0539210284341213,.7472382096908373
95,2011,.8858898662227027,-.3602944686486137,.5982868114699624,.1162255910415685,.5746159361179443
95,2012,.8280631080523172,-.3227523362124665,.8938329614257882,.0924531240261767,.7258085978011509
95,2013,.8099591177988676,-.303639578323405,.7645926178541217,.201151361399849,.5940386093327731
95,2014,.8324619002337049,-.3129841315660017,.6923741485871205,.1482192910963044,.5808605033512217
95,2015,.8020694411111213,-.3112711539766917,.9695635211300759,.1357602574401624,.7432435867935807
100,1970,.4814787829148922,.9173154852494553,1.4315009885401,-.4158979409419929,.3420464092397478
100,1971,.3663918153492103,.9213052638362624,1.51522546060745,-.3893423827563227,.3742082771323763
100,1972,.4806137421515588,.877501784690523,1.490116334153661,-.3800130779197297,.3898979534541058
100,1973,.5544398062885422,.8535119018987121,1.364619710443591,-.3498946820444353,.3245289731957587
100,1974,.6009648902778812,.8675260592197238,1.327768014002232,-.3114863197280674,.2789760252828604
